"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Soler, Jorge",624585,2024,32,493,574,119,63,34,1,21,141,68,24.6,11.8,".241",".442",".338","0.780",".340",".346","75.4","90.5",33.4,12.6,44.1,"101.898357865","95.262490702",28.9,44.5
"Lowe, Nathaniel",663993,2024,28,486,565,129,96,16,1,16,125,71,22.1,12.6,".265",".401",".361","0.762",".337",".328","73.3","88.9",32.6,5.8,40,"100.432822253","94.330442369",20.6,42.7
"Winn, Masyn",691026,2024,22,587,637,157,105,32,5,15,109,41,17.1,6.4,".267",".416",".314","0.730",".315",".293","70.2","87",33.5,3.7,32.7,"98.144268452","93.085870398",19,47
"Bregman, Alex",608324,2024,30,581,634,151,93,30,2,26,86,44,13.6,6.9,".260",".453",".315","0.768",".331",".319","71.3","89.1",34.9,6.4,40.5,"98.986527952","93.684160984",12.8,44.9
"Gelof, Zack",680869,2024,24,497,547,105,66,20,2,17,188,38,34.4,6.9,".211",".362",".270","0.632",".276",".271","71.6","89.2",34.4,8.8,37.2,"98.970921935","93.611147032",36.4,51.5
"Benintendi, Andrew",643217,2024,29,477,522,109,69,20,0,20,96,41,18.4,7.9,".229",".396",".289","0.685",".298",".303","68","88",36.5,6.3,34.4,"97.17823","92.764984068",21.1,48
"De La Cruz, Bryan",650559,2024,27,584,622,136,90,25,0,21,170,29,27.3,4.7,".233",".384",".271","0.655",".283",".302","71.8","89.6",35.6,9.3,41.3,"99.848652919","94.22196445",30.1,53.4
"Rutschman, Adley",668939,2024,26,571,638,143,102,21,1,19,103,58,16.1,9.1,".250",".391",".318","0.709",".309",".315","69.1","88.2",35.4,6.1,36.6,"98.081119454","93.149039684",17.1,44.5
"McMahon, Ryan",641857,2024,29,567,645,137,89,28,0,20,185,69,28.7,10.7,".242",".397",".325","0.722",".315",".325","72.5","92.1",36.5,10.9,49.7,"102.62988712","96.057260524",30,46.9
"Young, Jacob",696285,2024,24,468,521,120,92,24,1,3,102,30,19.6,5.8,".256",".331",".316","0.647",".290",".286","68.2","85.8",28.1,1.6,28.9,"96.872142235","92.486924676",19.3,44.9
"Greene, Riley",682985,2024,23,512,584,134,77,27,6,24,156,64,26.7,11,".262",".479",".348","0.827",".355",".353","74.7","91.3",39.1,13.4,47.1,"102.088081676","95.54007409",26.8,44.3
"Ohtani, Shohei",660271,2024,29,636,731,197,98,38,7,54,162,81,22.2,11.1,".310",".646",".390","1.036",".431",".442","76.3","95.8",37.8,21.5,60.1,"106.727792385","98.772122364",29.8,47.3
"Pasquantino, Vinnie",686469,2024,26,496,554,130,79,30,2,19,71,40,12.8,7.2,".262",".446",".315","0.761",".325",".331","71.7","91",31.9,7.1,46.5,"100.997993151","94.970921142",14.5,47.8
"Swanson, Dansby",621020,2024,30,534,593,129,84,27,2,16,144,54,24.3,9.1,".242",".390",".312","0.702",".307",".321","71.7","89.4",32.6,9.2,42.7,"100.210263655","94.404024529",28.7,48.7
"Ozuna, Marcell",542303,2024,33,606,688,183,113,31,0,39,170,74,24.7,10.8,".302",".546",".378","0.924",".395",".402","74","92.1",40.5,15.5,53.4,"103.338991136","96.489686128",31.4,46.8
"Adames, Willy",642715,2024,28,610,688,153,88,33,0,32,173,74,25.1,10.8,".251",".462",".331","0.793",".342",".339","73.6","88.6",38.2,12,40.7,"99.769639045","94.108759136",29.5,49.5
"Ramírez, José",608070,2024,31,620,682,173,93,39,2,39,82,54,12,7.9,".279",".537",".335","0.872",".364",".329","71.5","89.2",34,8.6,39.7,"99.642954081","93.982319614",15.2,49.4
"Springer III, George",543807,2024,34,545,614,120,79,19,3,19,115,60,18.7,9.8,".220",".371",".303","0.674",".298",".322","71.9","87.5",29.2,9.3,37.4,"99.896868","94.046929394",25.3,49.1
"Carroll, Corbin",682998,2024,23,589,684,136,78,22,14,22,130,73,19,10.7,".231",".428",".322","0.750",".325",".324","73.7","89.3",27.8,7.2,40.8,"101.055665665","94.755672366",20.3,41.4
"Rooker Jr., Brent",667670,2024,29,546,614,160,93,26,2,39,177,59,28.8,9.6,".293",".562",".365","0.927",".392",".380","73.7","91.9",38.3,16.6,49.6,"103.25238457","96.193453235",34.1,50.2
"Santander, Anthony",623993,2024,29,595,665,140,69,25,2,44,129,58,19.4,8.7,".235",".506",".308","0.814",".345",".324","73.1","89.8",35,11.7,41.6,"100.325476894","94.357156511",20,49.7
"Bohm, Alec",664761,2024,27,554,606,155,94,44,2,15,86,40,14.2,6.6,".280",".448",".332","0.780",".335",".342","72.2","90.4",35.2,6.8,45.6,"100.768220847","94.781662669",17.6,49.7
"Mountcastle, Ryan",663624,2024,27,473,507,128,83,30,2,13,114,27,22.5,5.3,".271",".425",".308","0.733",".316",".332","75.1","90.8",36.2,8.8,45.2,"102.105716923","95.370233104",25.1,56.1
"Gurriel Jr., Lourdes",666971,2024,30,513,553,143,101,22,2,18,101,29,18.3,5.2,".279",".435",".322","0.757",".327",".319","70.6","88.4",33.8,6.7,40,"99.549348469","93.921850288",20.2,51.1
"Morel, Christopher",666624,2024,25,535,611,105,70,11,3,21,159,61,26,10,".196",".346",".288","0.634",".280",".316","76.1","89.2",27.6,10.2,40.4,"101.221222105","94.784090605",34.1,47
"Guerrero Jr., Vladimir",665489,2024,25,616,697,199,124,44,1,30,96,72,13.8,10.3,".323",".544",".396","0.940",".398",".408","75.9","93.8",35.1,13.7,54.9,"105.663720766","97.649346073",21.5,48
"Devers, Rafael",646240,2024,27,525,601,143,76,34,5,28,147,67,24.5,11.1,".272",".516",".354","0.870",".364",".364","72.5","93.2",35.2,13,52.6,"104.597925864","97.090537461",30.9,50.9
"Machado, Manny",592518,2024,31,593,643,163,104,30,0,29,124,45,19.3,7,".275",".472",".325","0.797",".340",".338","75.2","92.5",33.8,11,48.8,"103.370494128","96.17209183",24.4,51.6
"Burger, Jake",669394,2024,28,535,579,134,81,23,1,29,150,31,25.9,5.4,".250",".460",".301","0.761",".325",".338","74.7","91.3",32.4,12.3,46.8,"103.619986856","96.171144407",30.1,52.4
"Cronenworth, Jake",630105,2024,30,577,656,139,90,29,3,17,118,61,18,9.3,".241",".390",".324","0.714",".315",".335","69.5","88.6",35.4,7.8,36.7,"99.527561266","93.904133654",17.1,45
"Rafaela, Ceddanne",678882,2024,23,544,571,134,91,23,5,15,151,15,26.4,2.6,".246",".390",".274","0.664",".286",".273","70.1","86.6",34.9,7.5,36.9,"98.205036294","93.166643181",33,61.9
"Bell, Josh",605137,2024,31,538,603,134,90,23,2,19,120,51,19.9,8.5,".249",".405",".319","0.724",".317",".310","70.4","88.9",31.4,7.6,40.1,"100.078711292","94.16958744",26.8,48.8
