"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Beltrán, Carlos",136860,2017,40,467,509,108,65,29,0,14,102,33,20,6.5,".231",".383",".283","0.666",".283",".284",,"87.3",29.4,4.6,31,"97.251447204","92.65384752",19.8,47.9
"Pujols, Albert",405395,2017,37,593,636,143,103,17,0,23,93,37,14.6,5.8,".241",".386",".286","0.672",".286",".316",,"88.7",31.9,5.4,39.2,"99.285027729","93.741547151",20.6,47.1
"Mauer, Joe",408045,2017,34,525,597,160,116,36,1,7,83,66,13.9,11.1,".305",".417",".384","0.801",".349",".368",,"90.6",35.7,4.5,46.3,"99.765368281","94.505396871",12.8,36.6
"Cabrera, Miguel",408234,2017,34,469,529,117,79,22,0,16,110,54,20.8,10.2,".249",".399",".329","0.728",".313",".370",,"91.1",41.7,10.5,48.2,"101.694912597","95.468080194",23.1,50.3
"Phillips, Brandon",408252,2017,36,572,604,163,115,34,1,13,73,21,12.1,3.5,".285",".416",".319","0.735",".316",".300",,"84.6",31.1,2.4,25.1,"95.331401585","91.737077703",20.2,56.3
"Reyes, José",408314,2017,34,501,561,123,76,25,7,15,79,50,14.1,8.9,".246",".413",".315","0.728",".312",".290",,"84.3",32.8,2.6,24.2,"94.454647109","91.42633867",17.7,45.2
"Choo, Shin-Soo",425783,2017,34,544,636,142,99,20,1,22,134,77,21.1,12.1,".261",".423",".357","0.780",".339",".367",,"88.7",36.1,8.6,37.8,"99.32635","93.783161845",23.2,42.1
"Molina, Yadier",425877,2017,34,501,543,137,91,27,1,18,74,28,13.6,5.2,".273",".439",".312","0.751",".316",".330",,"87.9",35.2,5.9,35,"97.479471767","92.916483",18.7,52.7
"Canó, Robinson",429664,2017,34,592,648,166,110,33,0,23,85,49,13.1,7.6,".280",".453",".338","0.791",".334",".355",,"90.3",33.9,6.3,44,"101.09943898","94.796904086",17.8,52
"Encarnación, Edwin",429665,2017,34,554,669,143,84,20,1,38,133,104,19.9,15.5,".258",".504",".377","0.881",".373",".389",,"89.2",36.4,10.3,42.5,"100.818156901","94.516538662",25.4,43
