"last_name, first_name","player_id","year","player_age","p_game","pa","hit","home_run","k_percent","bb_percent","batting_avg","p_out","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Webb, Logan",657277,2024,27,"33",841,202,11,20.5,5.9,".258","614",".288",".320",32.1,7,46.2,"77.927662825","95.233452829",20.8,46.2
"Wacha, Michael",608379,2024,32,"29",685,154,17,21.2,6.6,".246","500",".300",".311",32.7,8.2,32.5,"75.614261583","93.109005646",23.3,48.5
"Greene, Hunter",668881,2024,24,"26",611,96,12,27.7,9.3,".183","451",".265",".271",29,5.2,32.5,"76.321243094","93.167150497",29.7,50.6
"Bibee, Tanner",676440,2024,25,"31",710,150,22,26.3,6.2,".230","521",".299",".301",37.4,7,36.9,"77.504108675","93.719329103",26.9,51
"Civale, Aaron",650644,2024,29,"31",689,158,29,21.6,7.5,".252","483",".327",".309",36.5,7.3,39.4,"79.152007238","94.002413711",21.9,45.2
"Gibson, Kyle",502043,2024,36,"30",722,161,23,20.9,9.4,".251","509",".323",".338",34.3,9.2,39.1,"76.558654534","94.071640304",25.9,42.9
"Ragans, Cole",666142,2024,26,"32",762,146,15,29.3,8.8,".213","559",".277",".283",31.8,6.2,35.4,"77.675891223","93.553010853",32,48.9
"Corbin, Patrick",571578,2024,34,"32",764,208,25,18.2,7.1,".298","524",".357",".357",37.3,8.3,46.7,"79.877843129","95.30570991",22.4,48.2
"Mikolas, Miles",571945,2024,35,"32",720,194,26,16.9,3.5,".284","515",".339",".331",38.1,8.1,42.3,"77.511449435","94.25374515",16.4,49.8
"Morton, Charlie",450203,2024,40,"30",701,154,23,23.8,9.3,".251","496",".335",".326",33,9.3,38.4,"77.729736875","93.929105313",26.1,46.6
"Suárez, Albert",544150,2024,34,"32",565,130,17,19.1,7.6,".255","401",".320",".311",38,7.1,38.4,"78.437722921","93.664169109",24.6,50.4
"Fried, Max",608331,2024,30,"29",714,146,13,23.2,8,".226","523",".273",".299",30.4,5,34.6,"73.871292176","93.362715837",24.1,45.9
"Lively, Ben",594902,2024,32,"29",632,139,23,18.7,7.8,".241","453",".315",".309",30.7,6.5,41.5,"80.455663231","94.191914792",18.6,46.6
"Littell, Zack",641793,2024,28,"29",656,164,22,21.5,4.7,".265","469",".317",".321",36.2,9.6,39.2,"78.590295546","94.137344568",23.1,51.9
"Rogers, Trevor",669432,2024,26,"25",562,140,14,17.3,10,".285","373",".350",".347",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Feltner, Ryan",663372,2024,27,"30",692,165,20,19.9,7.5,".263","487",".320",".320",33.1,6.5,36.8,"76.695048857","93.803345297",23.9,48.1
"Bello, Brayan",678394,2024,25,"30",702,157,19,21.8,9.1,".252","487",".319",".328",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Ryan, Joe",657746,2024,28,"23",538,110,19,27.3,4.3,".217","405",".282",".264",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Wheeler, Zack",554430,2024,34,"32",787,139,20,28.5,6.6,".192","600",".256",".261",32.6,8.3,33.6,"74.93491968","93.046728036",27.5,51.2
"Cannon, Jonathan",686563,2024,23,"23",522,125,18,17.4,7.7,".263","373",".332",".322",38.3,7.3,36.3,"78.719188912","93.823911325",21.8,47.1
"Falter, Bailey",663559,2024,27,"28",589,138,17,16.5,7.6,".260","427",".320",".336",36.6,9,41.3,"79.920380413","94.430660482",19.6,49.5
"Imanaga, Shota",684007,2024,30,"29",694,149,27,25.1,4,".225","520",".279",".286",36,8.6,39.3,"77.586230864","93.931424733",28.3,55.7
"Gausman, Kevin",592332,2024,33,"31",756,165,20,21.4,7.4,".238","543",".300",".333",35.5,9.7,42.4,"79.496181832","94.740771683",23.4,49.9
"Fedde, Erick",607200,2024,31,"31",726,154,20,21.2,7.2,".233","532",".293",".306",32.4,7.6,37.7,"77.502500545","93.941632164",21.6,45.5
"Gray, Sonny",543243,2024,34,"28",671,142,21,30.3,5.8,".228","499",".292",".297",38.1,8.9,37.9,"79.276406538","94.211961253",29.8,48.7
"Spence, Mitch",687765,2024,26,"35",651,165,20,19.4,6.8,".276","454",".340",".314",30.9,8.4,41.7,"78.960464768","94.185021142",22.5,50.6
"Quantrill, Cal",615698,2024,29,"29",656,156,23,16.8,10.5,".273","445",".358",".351",37.1,7.3,41.2,"77.92321026","94.354738243",21.6,45.7
"Gil, Luis",661563,2024,26,"29",637,104,18,26.8,12.1,".189","455",".288",".302",33.7,9.5,37.4,"78.931048895","94.034939077",29,45.5
"Pepiot, Ryan",686752,2024,26,"26",539,102,17,26.3,8.9,".212","390",".290",".296",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Manaea, Sean",640455,2024,32,"32",738,134,21,24.9,8.5,".202","545",".275",".300",37,7.5,37.8,"77.674456946","93.857812243",26.1,49
"Kremer, Dean",665152,2024,28,"24",553,110,18,22.2,9.2,".223","389",".294",".326",31.1,9.8,35.4,"75.880741892","93.507892033",23.3,46.2
"López, Pablo",641154,2024,28,"32",772,180,26,25.6,5.3,".252","556",".306",".297",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"King, Michael",650633,2024,29,"31",726,144,17,27.7,8.7,".221","521",".284",".294",35.2,6.2,30.3,"73.981359732","92.671656987",29.3,45.4
"Peralta, Freddy",642547,2024,28,"32",725,143,26,27.6,9.4,".224","521",".305",".305",35.3,8.7,36.9,"75.95026724","93.640809751",31.1,46.9
"Kikuchi, Yusei",579328,2024,33,"32",736,167,25,28,6,".245","527",".297",".298",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Brown, Hunter",686613,2024,25,"31",712,156,18,25.1,8.4,".242","510",".296",".283",28,4.5,30.3,"74.687517768","92.855098176",25.1,46.3
"Blanco, Ronel",669854,2024,30,"30",676,114,22,24.6,10.1,".190","502",".276",".309",30.1,9.3,35.5,"78.14814367","93.702377385",29,48.6
"Stroman, Marcus",573186,2024,33,"30",675,167,19,16.7,8.9,".277","464",".341",".340",35.5,6.7,40.2,"78.437503663","94.344487814",20.4,43.9
"Gilbert, Logan",669302,2024,27,"33",803,148,26,27.4,4.6,".196","626",".255",".276",33,7.2,39.3,"78.976067127","94.386132799",31.7,50.4
"Harrison, Kyle",690986,2024,22,"24",532,125,18,22.2,7.9,".263","373",".330",".338",34.2,10.1,44.1,"80.405098066","94.933663315",23.6,46.2
"Kirby, George",669923,2024,26,"33",778,181,22,23,3,".245","573",".287",".288",30.5,8.1,36.3,"78.774593274","93.753520357",24.1,53.4
"Lugo, Seth",607625,2024,34,"33",836,177,16,21.7,5.7,".229","620",".278",".300",32.8,8,39,"77.299278949","93.994017356",22.5,46.7
"Gore, MacKenzie",669022,2024,25,"32",731,171,15,24.8,8.9,".263","499",".324",".316",36.2,6.8,38.1,"76.776975684","93.73951438",28.6,50.4
"Valdez, Framber",664285,2024,30,"28",703,140,13,24,7.8,".221","529",".272",".287",26,5.3,45,"80.000726364","94.620557662",27.2,44.9
"Singer, Brady",663903,2024,27,"32",762,175,22,22.3,7.1,".253","539",".316",".331",35.6,8,41.7,"77.275001577","94.431135896",25.1,44.7
"Sánchez, Cristopher",650911,2024,27,"31",754,182,11,20.3,5.8,".258","545",".290",".293",30.2,5.4,34.5,"75.18960646","93.870693047",24.3,51.6
"Marsh, Alec",679525,2024,26,"26",548,123,19,22.4,7.1,".249","387",".325",".341",38,9.6,40.9,"78.827178162","94.623945041",23.5,47.6
"Ober, Bailey",641927,2024,28,"31",709,136,27,26.9,6.1,".208","536",".282",".279",34.8,8.3,34.3,"76.699154464","93.270078151",29,52.4
"Jones, Jared",683003,2024,22,"22",504,106,18,26.2,7.7,".232","365",".314",".311",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Montgomery, Jordan",656756,2024,31,"25",532,149,14,15.6,8.3,".312","351",".370",".347",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Bassitt, Chris",605135,2024,35,"31",758,180,18,22.2,9.2,".270","513",".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",21.7,45
"Gomber, Austin",596295,2024,30,"30",696,178,30,16.7,5.5,".273","495",".339",".344",37.7,9.6,41.2,"80.036265299","94.432492071",19.9,48.3
"Houck, Tanner",656557,2024,28,"30",743,156,11,20.7,6.5,".231","536",".276",".313",30.2,5.7,41.8,"78.489312385","94.430703969",22.6,46.8
"Flaherty, Jack",656427,2024,28,"28",649,135,24,29.9,5.9,".223","486",".288",".292",36.1,7.7,35.9,"77.445862362","93.776478992",32.1,46.2
"Cease, Dylan",656302,2024,28,"33",762,137,18,29.4,8.5,".200","568",".266",".283",32.4,8.5,38.6,"78.282702241","94.084709267",32.4,48.2
"Irvin, Jake",663623,2024,27,"33",769,173,29,20.3,6.8,".244","563",".314",".320",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Montas, Frankie",593423,2024,31,"30",655,140,24,22.6,10.1,".243","452",".325",".333",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Canning, Griffin",656288,2024,28,"32",739,174,31,17.6,8.9,".265","515",".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
